"","sid","frame_size","magnitude","task"
"466","30511ki","Medium",1.81952130527551,"combined_saccade"
"467","30511ki","Large",1.96836641884832,"combined_saccade"
"468","30511ki","Extra Large",2.14878042995908,"combined_saccade"
"469","30516dl","Small",4.05006661292999,"combined_saccade"
"470","30516dl","Medium",2.03901779024968,"combined_saccade"
"471","30516dl","Large",1.94466190603565,"combined_saccade"
"472","30516dl","Extra Large",1.35219040122836,"combined_saccade"
"473","30516gm","Small",3.65638998619594,"combined_saccade"
"474","30516gm","Medium",2.67669033391487,"combined_saccade"
"475","30516gm","Large",2.16052356414035,"combined_saccade"
"476","30516gm","Extra Large",0.501672522120623,"combined_saccade"
"477","30530iw","Small",6.8303034649771,"combined_saccade"
"478","30530iw","Medium",5.1334183292994,"combined_saccade"
"479","30530iw","Large",7.90326142681557,"combined_saccade"
"480","30530iw","Extra Large",2.85513395193722,"combined_saccade"
"481","30530tl","Small",0.826918165140247,"combined_saccade"
"482","30530tl","Medium",1.39816467754742,"combined_saccade"
"483","30530tl","Large",0.294734637592672,"combined_saccade"
"484","30530tl","Extra Large",4.93137493827878,"combined_saccade"
"485","30602kh","Small",4.66638677300078,"combined_saccade"
"486","30602kh","Medium",2.51188136122405,"combined_saccade"
"487","30602kh","Large",2.96513450509464,"combined_saccade"
"488","30602kh","Extra Large",3.10999158802821,"combined_saccade"
"489","30606tw","Small",3.0205362680168,"combined_saccade"
"490","30606tw","Medium",-0.347334566940766,"combined_saccade"
"491","30606tw","Large",0.4801505111416,"combined_saccade"
"492","30606tw","Extra Large",0.881460185177604,"combined_saccade"
"493","30608at","Small",1.70624543164461,"combined_saccade"
"494","30608at","Medium",2.61854016438272,"combined_saccade"
"495","30608at","Large",1.83160439915236,"combined_saccade"
"496","30608at","Extra Large",2.28618882159453,"combined_saccade"
"497","30613kb","Small",2.81968878505786,"combined_saccade"
"498","30613kb","Medium",1.92283050184592,"combined_saccade"
"499","30613kb","Large",2.13537447387044,"combined_saccade"
"500","30613kb","Extra Large",0.14201095508807,"combined_saccade"
"501","30613th","Small",3.83511462643891,"combined_saccade"
"502","30613th","Medium",2.00357332173806,"combined_saccade"
"503","30613th","Large",2.06283213123965,"combined_saccade"
"504","30613th","Extra Large",1.91218777710599,"combined_saccade"
"505","30907tg","Small",0.701228039857869,"combined_saccade"
"506","30907tg","Medium",-1.701430617831,"combined_saccade"
"507","30907tg","Large",0.360917481467226,"combined_saccade"
"508","30907tg","Extra Large",3.06784411980623,"combined_saccade"
"509","30912cg","Small",2.43140558332099,"combined_saccade"
"510","30912cg","Medium",2.42299526157129,"combined_saccade"
"511","30912cg","Large",2.17454616238328,"combined_saccade"
"512","30912cg","Extra Large",3.26802564584882,"combined_saccade"
"513","30912kf","Small",3.91090444364581,"combined_saccade"
"514","30912kf","Medium",1.63315807078711,"combined_saccade"
"515","30912kf","Large",0.999661617384194,"combined_saccade"
"516","30912kf","Extra Large",3.38903647899515,"combined_saccade"
