"","sid","frame_size","cw","ccw","frame_effect_perception","magnitude"
"271","p31115sr","Large",2.903169769,-1.993861619,2.448515694,2.448515694
"272","p31115sr","Extra Large",2.206647819,-0.63042483,1.4185363245,1.4185363245
"273","p31116cm","Small",1.250386228,-0.08981949,0.670102859,0.670102859
"274","p31116cm","Medium",1.134745496,-0.436225034,0.785485265,0.785485265
"275","p31116cm","Large",1.158004256,-0.261377307,0.7096907815,0.7096907815
"276","p31116cm","Extra Large",1.322431607,0.012983844,0.6547238815,0.6547238815
"277","p31121cd","Small",0.001782004,-3.648985389,1.8253836965,1.8253836965
"278","p31121cd","Medium",0.385684204,-2.488091246,1.436887725,1.436887725
"279","p31121cd","Large",0.57532683,-3.292671164,1.933998997,1.933998997
"280","p31121cd","Extra Large",1.071971728,-2.251030491,1.6615011095,1.6615011095
"281","p31121dc","Small",3.162663002,-2.23352748,2.698095241,2.698095241
"282","p31121dc","Medium",2.734690667,-1.333218607,2.033954637,2.033954637
"283","p31121dc","Large",1.176669146,-1.343635738,1.260152442,1.260152442
"284","p31121dc","Extra Large",2.269117285,-0.838421025,1.553769155,1.553769155
"285","p31121mm","Small",2.797098148,-9.906637162,6.351867655,6.351867655
"286","p31121mm","Medium",-1.701173524,-9.985250021,4.1420382485,4.1420382485
"287","p31121mm","Large",-0.35865961,-7.574496296,3.607918343,3.607918343
"288","p31121mm","Extra Large",-2.641985763,-7.721036343,2.53952529,2.53952529
"289","p31122cc","Small",4.621079033,1.747386033,1.4368465,1.4368465
"290","p31122cc","Medium",3.670332346,1.558114534,1.056108906,1.056108906
"291","p31122cc","Large",3.095800574,3.220753853,-0.0624766395,-0.0624766395
"292","p31122cc","Extra Large",4.066883943,1.632309277,1.217287333,1.217287333
"293","p31122is","Small",5.8639191,0.628295282,2.617811909,2.617811909
"294","p31122is","Medium",4.451568301,0.760894234,1.8453370335,1.8453370335
"295","p31122is","Large",4.332837478,1.506791521,1.4130229785,1.4130229785
"296","p31122is","Extra Large",4.324056127,0.59458246,1.8647368335,1.8647368335
"297","p31122md","Small",0.897917556,-3.341835073,2.1198763145,2.1198763145
"298","p31122md","Medium",-0.107610461,-2.438200691,1.165295115,1.165295115
"299","p31122md","Large",-0.3498452,-1.690109965,0.6701323825,0.6701323825
"300","p31122md","Extra Large",0.338137977,-2.015267567,1.176702772,1.176702772
"301","p31122ns","Small",-1.242167021,-4.485147566,1.6214902725,1.6214902725
"302","p31122ns","Medium",-1.975093564,-4.318567138,1.171736787,1.171736787
"303","p31122ns","Large",-1.101556253,-4.049537447,1.473990597,1.473990597
"304","p31122ns","Extra Large",-1.964255654,-4.548919746,1.292332046,1.292332046
"305","p31127cj","Small",0.269798432,-3.324105705,1.7969520685,1.7969520685
"306","p31127cj","Medium",0.323818911,-2.406838633,1.365328772,1.365328772
"307","p31127cj","Large",0.138632852,-2.959410639,1.5490217455,1.5490217455
"308","p31127cj","Extra Large",-0.125017705,-2.581206015,1.228094155,1.228094155
"309","p31127ks","Small",3.269181974,-0.988802786,2.12899238,2.12899238
"310","p31127ks","Medium",4.366808514,-2.063870799,3.2153396565,3.2153396565
"311","p31127ks","Large",2.103950894,-0.587095328,1.345523111,1.345523111
"312","p31127ks","Extra Large",1.652708855,-1.311959228,1.4823340415,1.4823340415
"313","p31127nf","Small",5.144399564,1.407049904,1.86867483,1.86867483
"314","p31127nf","Medium",3.666454196,1.886131248,0.890161474,0.890161474
"315","p31127nf","Large",5.291990327,2.543276512,1.3743569075,1.3743569075
"316","p31127nf","Extra Large",3.476124174,1.638886341,0.9186189165,0.9186189165
"317","p40216ss","Small",-2.688422383,-6.060585091,1.686081354,1.686081354
"318","p40216ss","Medium",-3.714016288,-7.186531359,1.7362575355,1.7362575355
"319","p40216ss","Large",-3.579537723,-6.067021755,1.243742016,1.243742016
"320","p40216ss","Extra Large",-4.981241966,-5.951836514,0.485297274,0.485297274
